Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,60,70.0,11200,1,0,100,100,100,60,100,20,60,60,100,70,5,5,1965,1965,100,60,45,45,0,0.0,65,65,70,65,65,20,50,906,10,0,134,1040,100,100,1,100,1040,0,0,1040,1,0,1,0,3,1,50,5,100,0,0,60,1965.0,33,1,384,65,65,100,0,0,0,0,0,0,0,0,0,0,2,2008,80,100,129500
12,60,60,85.0,11924,1,0,75,100,100,60,100,17,60,60,100,90,9,5,2005,2006,100,60,65,65,100,286.0,100,65,100,100,65,20,100,998,10,0,177,1175,100,100,1,100,1182,1142,0,2324,1,0,3,0,4,1,100,11,100,2,80,100,2005.0,100,3,736,65,65,100,147,21,0,0,0,0,0,0,0,0,7,2006,100,80,345000
13,20,60,71.0,12968,1,0,50,100,100,60,100,20,60,60,100,70,5,6,1962,1962,100,60,45,35,0,0.0,65,65,70,65,65,20,80,737,10,0,175,912,100,65,1,100,912,0,0,912,1,0,1,0,2,1,50,4,100,0,0,60,1962.0,33,1,352,65,65,100,140,0,0,0,176,0,0,0,0,0,9,2008,80,100,144000
14,20,60,91.0,10652,1,0,75,100,100,60,100,6,60,60,100,70,7,5,2006,2007,80,60,70,70,100,306.0,80,65,100,80,65,70,10,0,10,0,1494,1494,100,100,1,100,1494,0,0,1494,0,0,2,0,3,1,80,7,100,1,80,80,2006.0,66,3,840,65,65,100,160,33,0,0,0,0,0,0,0,0,8,2007,100,80,279500
15,20,60,73.0,10920,1,0,75,100,100,80,100,13,60,60,100,70,6,5,1960,1960,100,60,40,40,85,212.0,65,65,70,65,65,20,60,733,10,0,520,1253,100,65,1,100,1253,0,0,1253,1,0,1,1,2,1,50,5,100,1,40,80,1960.0,66,1,352,65,65,100,0,213,176,0,0,0,0,75,0,0,5,2008,80,100,157000
16,45,80,51.0,6120,1,0,100,100,100,80,100,4,60,60,100,50,7,8,1929,2001,80,60,60,60,0,0.0,65,65,80,65,65,20,10,0,10,0,832,832,100,100,1,75,854,0,0,854,0,0,1,0,2,1,50,5,100,0,0,60,1991.0,33,2,576,65,65,100,48,112,0,0,0,0,0,100,0,0,7,2007,80,100,132000
17,20,60,73.0,11241,1,0,75,100,100,100,100,13,60,60,100,70,6,7,1970,1970,80,60,60,60,85,180.0,65,65,70,65,65,20,80,578,10,0,426,1004,100,100,1,100,1004,0,0,1004,1,0,1,0,2,1,50,5,100,1,65,80,1970.0,100,2,480,65,65,100,0,0,0,0,0,0,0,0,37,700,3,2010,80,100,149000
18,90,60,72.0,10791,1,0,100,100,100,60,100,20,60,60,50,70,4,5,1967,1967,80,60,40,40,0,0.0,65,65,40,0,0,0,0,0,0,0,0,0,100,65,1,100,1296,0,0,1296,0,0,2,0,2,2,50,6,100,0,0,40,1967.0,33,2,516,65,65,100,0,0,0,0,0,0,0,0,37,500,10,2006,80,100,90000
19,20,60,66.0,13695,1,0,100,100,100,60,100,21,20,60,100,70,5,5,2004,2004,80,60,70,70,0,0.0,65,65,100,65,65,20,100,646,10,0,468,1114,100,100,1,100,1114,0,0,1114,1,0,1,1,3,1,80,6,100,0,0,60,2004.0,33,2,576,65,65,100,0,102,0,0,0,0,0,0,0,0,6,2008,80,100,159000
20,20,60,70.0,7560,1,0,100,100,100,60,100,13,60,60,100,70,5,6,1958,1965,100,60,90,35,0,0.0,65,65,70,65,65,20,30,504,10,0,525,1029,100,65,1,100,1339,0,0,1339,0,0,1,0,3,1,50,6,85,0,0,80,1958.0,33,1,294,65,65,100,0,0,0,0,0,0,0,50,0,0,5,2009,30,20,139000
21,60,60,101.0,14215,1,0,75,100,100,80,100,17,60,60,100,90,8,5,2005,2006,80,60,70,70,85,380.0,80,65,100,100,65,70,10,0,10,0,1158,1158,100,100,1,100,1158,1218,0,2376,0,0,3,1,4,1,80,9,100,1,80,100,2005.0,66,3,853,65,65,100,240,154,0,0,0,0,0,0,0,0,11,2006,100,80,325300
22,45,80,57.0,7449,1,2,100,70,100,60,100,10,60,60,100,50,7,7,1930,1950,80,60,60,60,0,0.0,65,65,100,65,65,20,10,0,10,0,637,637,100,100,1,50,1108,0,0,1108,0,0,1,0,3,1,80,6,100,1,80,80,1930.0,33,1,280,65,65,0,0,0,205,0,0,0,0,100,0,0,6,2007,80,100,139400
23,20,60,75.0,9742,1,0,100,100,100,60,100,6,60,60,100,70,8,5,2002,2002,100,60,70,70,85,281.0,80,65,100,80,65,20,10,0,10,0,1777,1777,100,100,1,100,1795,0,0,1795,0,0,2,0,3,1,80,7,100,1,80,80,2002.0,66,2,534,65,65,100,171,159,0,0,0,0,0,0,0,0,9,2008,80,100,230000
24,120,80,44.0,4224,1,0,100,100,100,60,100,11,60,60,80,70,5,7,1976,1976,80,60,85,85,0,0.0,65,65,100,80,65,20,100,840,10,0,200,1040,100,65,1,100,1060,0,0,1060,1,0,1,0,3,1,50,6,100,1,65,80,1976.0,33,2,572,65,65,100,100,110,0,0,0,0,0,0,0,0,6,2007,80,100,129900
25,20,60,71.0,8246,1,0,75,100,100,60,100,20,60,60,100,70,5,8,1968,2001,80,60,35,35,0,0.0,65,80,70,65,65,40,50,188,80,668,204,1060,100,100,1,100,1060,0,0,1060,1,0,1,0,3,1,80,6,100,1,65,80,1968.0,33,1,270,65,65,100,406,90,0,0,0,0,0,50,0,0,5,2010,80,100,154000
26,20,60,110.0,14230,1,0,100,100,100,80,100,17,60,60,100,70,8,5,2007,2007,80,60,70,70,100,640.0,80,65,100,80,65,20,10,0,10,0,1566,1566,100,100,1,100,1600,0,0,1600,0,0,2,0,3,1,80,7,100,1,80,80,2007.0,66,3,890,65,65,100,0,56,0,0,0,0,0,0,0,0,7,2009,80,100,256300
27,20,60,60.0,7200,1,0,100,100,100,80,100,13,60,60,100,70,5,7,1951,2000,80,60,60,60,0,0.0,65,65,70,65,65,40,60,234,50,486,180,900,100,65,1,100,900,0,0,900,0,1,1,0,3,1,80,5,100,0,0,60,2005.0,33,2,576,65,65,100,222,32,0,0,0,0,0,0,0,0,5,2010,80,100,134800
28,20,60,98.0,11478,1,0,100,100,100,60,100,17,60,60,100,70,8,5,2007,2008,80,60,70,70,100,200.0,80,65,100,100,65,20,100,1218,10,0,486,1704,100,100,1,100,1704,0,0,1704,1,0,2,0,3,1,80,7,100,1,80,80,2008.0,66,3,772,65,65,100,0,50,0,0,0,0,0,0,0,0,5,2010,80,100,306000
29,20,60,47.0,16321,1,0,75,100,100,100,100,13,60,60,100,70,5,6,1957,1997,80,60,40,40,0,0.0,65,65,70,65,65,100,60,1277,10,0,207,1484,100,65,1,100,1600,0,0,1600,1,0,1,0,2,1,50,6,100,2,80,80,1957.0,66,1,319,65,65,100,288,258,0,0,0,0,0,0,0,0,12,2006,80,100,207500
30,30,80,60.0,6324,1,0,75,100,100,60,100,4,50,35,100,70,4,6,1927,1950,80,60,40,40,0,0.0,65,65,80,65,65,20,10,0,10,0,520,520,100,40,0,100,520,0,0,520,0,0,1,0,1,1,30,4,100,0,0,60,1920.0,33,1,240,40,65,100,49,0,87,0,0,0,0,0,0,0,5,2008,80,100,68500
31,70,20,50.0,8500,1,1,100,100,100,60,100,10,50,60,100,90,4,4,1920,1950,50,60,90,90,0,0.0,65,40,80,65,65,20,10,0,10,0,649,649,100,65,0,100,649,668,0,1317,0,0,1,0,3,1,50,6,100,0,0,60,1920.0,33,1,250,65,40,0,0,54,172,0,0,0,0,50,0,0,7,2008,80,100,40000
32,20,60,71.0,8544,1,0,75,100,100,100,100,20,60,60,100,70,5,6,1966,2006,80,60,45,45,0,0.0,65,65,70,65,65,20,10,0,10,0,1228,1228,100,80,1,100,1228,0,0,1228,0,0,1,1,3,1,80,6,100,0,0,80,1966.0,33,1,271,65,65,100,0,65,0,0,0,0,0,50,0,0,6,2008,80,100,149350
33,20,60,85.0,11049,1,0,100,100,100,80,100,6,60,60,100,70,8,5,2007,2007,80,60,70,70,0,0.0,80,65,100,100,65,70,10,0,10,0,1234,1234,100,100,1,100,1234,0,0,1234,0,0,2,0,3,1,80,7,100,0,0,80,2007.0,66,2,484,65,65,100,0,30,0,0,0,0,0,0,0,0,1,2008,80,100,179900
34,20,60,70.0,10552,1,0,75,100,100,60,100,13,60,60,100,70,5,5,1959,1959,100,60,90,90,0,0.0,65,65,70,65,65,20,50,1018,10,0,380,1398,100,80,1,100,1700,0,0,1700,0,1,1,1,4,1,80,6,100,1,80,80,1959.0,66,2,447,65,65,100,0,38,0,0,0,0,0,0,0,0,4,2010,80,100,165500
35,120,60,60.0,7313,1,0,100,100,100,60,100,17,60,60,80,70,9,5,2005,2005,100,60,40,40,85,246.0,100,65,100,100,65,20,100,1153,10,0,408,1561,100,100,1,100,1561,0,0,1561,1,0,2,0,2,1,100,6,100,1,80,80,2005.0,100,2,556,65,65,100,203,47,0,0,0,0,0,0,0,0,8,2007,80,100,277500
36,60,60,108.0,13418,1,0,100,100,100,60,100,17,60,60,100,90,8,5,2004,2005,80,60,70,70,100,132.0,80,65,100,100,65,70,10,0,10,0,1117,1117,100,100,1,100,1132,1320,0,2452,0,0,3,1,4,1,80,9,100,1,80,100,2004.0,100,3,691,65,65,100,113,32,0,0,0,0,0,0,0,0,9,2006,80,100,309000
37,20,60,112.0,10859,1,0,100,100,100,80,100,6,60,60,100,70,5,5,1994,1995,80,60,70,70,0,0.0,65,65,100,80,65,20,10,0,10,0,1097,1097,100,100,1,100,1097,0,0,1097,0,0,1,1,3,1,50,6,100,0,0,80,1995.0,33,2,672,65,65,100,392,64,0,0,0,0,0,0,0,0,6,2009,80,100,145000
38,20,60,74.0,8532,1,0,100,100,100,60,100,13,60,60,100,70,5,6,1954,1990,100,60,60,60,85,650.0,65,65,70,65,65,20,50,1213,10,0,84,1297,100,80,1,100,1297,0,0,1297,0,1,1,0,3,1,50,5,100,1,65,80,1954.0,100,2,498,65,65,100,0,0,0,0,0,0,0,0,0,0,10,2009,80,100,153000
39,20,60,68.0,7922,1,0,100,100,100,60,100,13,60,60,100,70,5,7,1953,2007,80,60,70,70,0,0.0,65,80,70,65,65,20,100,731,10,0,326,1057,100,65,1,100,1057,0,0,1057,1,0,1,0,3,1,80,5,100,0,0,60,1953.0,33,1,246,65,65,100,0,52,0,0,0,0,0,0,0,0,1,2010,80,20,109000
40,90,60,65.0,6040,1,0,100,100,100,60,100,8,60,60,50,70,4,5,1955,1955,80,60,15,35,0,0.0,65,65,100,0,0,0,0,0,0,0,0,0,100,65,0,25,1152,0,0,1152,0,0,2,0,2,2,30,6,100,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,80,60,82000
41,20,60,84.0,8658,1,0,100,100,100,60,100,13,60,60,100,70,6,5,1965,1965,80,60,60,60,85,101.0,65,65,70,65,65,20,50,643,10,0,445,1088,100,100,1,100,1324,0,0,1324,0,0,2,0,3,1,50,6,100,1,65,80,1965.0,66,2,440,65,65,100,0,138,0,0,0,0,0,75,0,0,12,2006,80,20,160000
42,20,60,115.0,16905,1,0,100,100,100,60,100,24,60,60,100,70,5,6,1959,1959,80,60,70,70,0,0.0,65,80,70,65,65,100,60,967,10,0,383,1350,100,80,1,100,1328,0,0,1328,0,1,1,1,2,1,50,5,100,2,80,80,1959.0,66,1,308,65,65,50,0,104,0,0,0,0,0,0,0,0,7,2007,80,100,170000
43,85,60,66.5,9180,1,0,75,100,100,100,100,21,60,60,100,30,5,7,1983,1983,80,60,45,45,0,0.0,65,65,70,80,65,70,80,747,30,93,0,840,100,80,1,100,884,0,0,884,1,0,1,0,2,1,80,5,100,0,0,80,1983.0,66,2,504,65,80,100,240,0,0,0,0,0,0,50,0,0,12,2007,80,100,144000
44,20,60,70.0,9200,1,0,75,100,100,100,100,6,60,60,100,70,5,6,1975,1980,100,60,70,70,0,0.0,65,65,70,80,65,70,30,280,60,491,167,938,100,65,1,100,938,0,0,938,1,0,1,0,3,1,50,5,100,0,0,60,1977.0,33,1,308,65,65,100,145,0,0,0,0,0,0,50,0,0,7,2008,80,100,130250
45,20,60,70.0,7945,1,0,100,100,100,60,100,13,60,60,100,70,5,6,1959,1959,80,60,90,60,0,0.0,65,65,70,65,65,20,80,179,60,506,465,1150,100,100,1,75,1150,0,0,1150,1,0,1,0,3,1,50,6,100,0,0,80,1959.0,66,1,300,65,65,100,0,0,0,0,0,0,0,0,0,0,5,2006,80,100,141000
46,120,60,61.0,7658,1,0,100,100,100,60,100,17,60,60,80,70,9,5,2005,2005,100,60,40,40,85,412.0,100,65,100,100,65,20,100,456,10,0,1296,1752,100,100,1,100,1752,0,0,1752,1,0,2,0,2,1,100,6,100,1,80,80,2005.0,66,2,576,65,65,100,196,82,0,0,0,0,0,0,0,0,2,2010,80,100,319900
47,50,60,48.0,12822,1,0,75,100,100,100,100,12,60,60,100,80,7,5,2003,2003,80,60,70,70,0,0.0,80,65,100,100,65,20,100,1351,10,0,83,1434,100,100,1,100,1518,631,0,2149,1,0,1,1,1,1,80,6,100,1,100,80,2003.0,66,2,670,65,65,100,168,43,0,0,198,0,0,0,0,0,8,2009,80,20,239686
48,20,30,84.0,11096,1,0,100,100,100,60,100,22,60,60,100,70,8,5,2006,2006,80,60,70,70,0,0.0,80,65,100,80,65,70,100,24,10,0,1632,1656,100,100,1,100,1656,0,0,1656,0,0,2,0,3,1,80,7,100,0,0,80,2006.0,66,3,826,65,65,100,0,146,0,0,0,0,0,0,0,0,7,2007,80,100,249700
49,190,80,33.0,4456,1,0,100,100,100,60,100,18,60,60,30,90,4,5,1920,2008,80,60,40,40,0,0.0,65,65,80,65,65,20,10,0,10,0,736,736,100,80,1,100,736,716,0,1452,0,0,2,0,2,3,50,8,100,0,0,0,0.0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,6,2009,100,80,113000
50,20,60,66.0,7742,1,0,100,100,100,60,100,20,60,60,100,70,5,7,1966,1966,80,60,45,45,0,0.0,65,65,70,65,65,20,60,763,10,0,192,955,100,100,1,100,955,0,0,955,1,0,1,0,3,1,50,6,100,0,0,80,1966.0,33,1,386,65,65,100,0,0,0,0,0,0,0,50,0,0,1,2007,80,100,127000
51,60,60,65.0,13869,1,0,50,100,100,80,100,9,60,60,100,90,6,6,1997,1997,80,60,70,70,0,0.0,65,65,100,80,65,70,100,182,10,0,612,794,100,80,1,100,794,676,0,1470,0,1,2,0,3,1,50,6,100,0,0,80,1997.0,100,2,388,65,65,100,0,75,0,0,0,0,0,0,0,0,7,2007,80,100,177000
52,50,80,52.0,6240,1,0,100,100,100,60,100,4,60,60,100,80,6,6,1934,1950,80,60,60,60,0,0.0,65,65,100,65,65,20,10,0,10,0,816,816,100,65,1,100,816,0,360,1176,0,0,1,0,3,1,50,6,100,1,80,60,1985.0,33,2,528,65,65,100,112,0,0,0,0,0,0,50,37,400,9,2006,80,100,114500
53,90,80,110.0,8472,0,0,50,70,100,80,50,10,35,60,50,70,5,5,1963,1963,80,60,60,60,0,0.0,40,65,70,80,65,100,30,104,100,712,0,816,100,65,0,100,816,0,0,816,1,0,1,0,2,1,50,5,100,0,0,40,1963.0,33,2,516,65,65,100,106,0,0,0,0,0,0,0,0,0,5,2010,80,100,110000
54,20,60,68.0,50271,1,0,75,20,100,60,100,25,60,60,100,70,9,5,1981,1987,80,90,65,65,0,0.0,80,65,70,100,65,100,100,1810,10,0,32,1842,100,80,1,100,1842,0,0,1842,2,0,0,1,0,1,80,5,100,1,80,80,1981.0,100,3,894,65,65,100,857,72,0,0,0,0,0,0,0,0,11,2006,80,100,385000
55,80,60,60.0,7134,1,0,100,70,100,60,50,13,60,60,100,40,5,5,1955,1955,80,60,40,40,0,0.0,65,65,70,65,65,20,80,384,10,0,0,384,100,65,1,100,1360,0,0,1360,0,0,1,0,3,1,50,6,85,1,65,60,1962.0,33,2,572,65,65,100,0,50,0,0,0,0,0,50,0,0,2,2007,80,100,130000
56,20,60,100.0,10175,1,0,75,100,100,60,100,13,60,60,100,70,6,5,1964,1964,80,60,45,35,85,272.0,65,65,70,65,65,20,60,490,10,0,935,1425,100,80,1,100,1425,0,0,1425,0,0,2,0,3,1,50,7,100,1,80,80,1964.0,66,2,576,65,65,100,0,0,0,407,0,0,0,0,0,0,7,2008,80,100,180500
57,160,30,24.0,2645,1,1,100,100,100,60,100,22,60,60,25,90,8,5,1999,2000,80,60,40,40,85,456.0,80,65,100,80,65,20,100,649,10,0,321,970,100,100,1,100,983,756,0,1739,1,0,2,1,3,1,80,7,100,0,0,80,1999.0,100,2,480,65,65,100,115,0,0,0,0,0,0,0,0,0,8,2009,80,20,172500
58,60,60,89.0,11645,1,0,75,100,100,80,100,6,60,60,100,90,7,5,2004,2004,80,60,70,70,0,0.0,80,65,100,80,65,20,10,0,10,0,860,860,100,100,1,100,860,860,0,1720,0,0,2,1,3,1,80,7,100,0,0,80,2004.0,66,2,565,65,65,100,0,70,0,0,0,0,0,0,0,0,8,2006,80,100,196500
59,60,60,66.0,13682,1,0,50,50,100,100,100,23,60,60,100,90,10,5,2006,2006,100,60,70,70,85,1031.0,100,65,100,100,65,100,10,0,10,0,1410,1410,100,100,1,100,1426,1519,0,2945,0,0,3,1,3,1,80,10,100,1,80,100,2006.0,100,3,641,65,65,100,192,0,37,0,0,0,0,0,0,0,10,2006,100,80,438780
60,20,60,60.0,7200,1,0,100,70,100,60,100,6,60,60,100,70,5,7,1972,1972,80,60,45,45,0,0.0,65,65,70,65,65,70,80,632,10,0,148,780,100,100,1,100,780,0,0,780,0,0,1,0,2,1,50,4,100,0,0,60,1973.0,33,1,352,65,65,100,196,0,0,0,0,0,0,50,0,0,1,2008,80,100,124900
61,20,60,63.0,13072,1,0,100,100,100,60,100,21,20,60,100,70,6,5,2004,2004,80,60,70,70,0,0.0,65,65,100,80,65,20,80,941,10,0,217,1158,100,100,1,100,1158,0,0,1158,1,0,1,1,3,1,80,5,100,0,0,60,2006.0,33,2,576,65,65,100,0,50,0,0,0,0,0,0,0,0,5,2006,100,80,158000
62,75,80,60.0,7200,1,0,100,100,100,60,100,10,60,60,100,60,5,7,1920,1996,80,60,40,40,0,0.0,65,65,80,65,40,20,10,0,10,0,530,530,100,65,0,100,581,530,0,1111,0,0,1,0,3,1,30,6,100,0,0,60,1935.0,33,1,288,65,65,0,0,0,144,0,0,0,0,0,0,0,3,2007,80,100,101000
63,120,60,44.0,6442,1,0,75,100,100,60,100,17,60,60,80,70,8,5,2006,2006,80,60,70,70,100,178.0,80,65,100,80,80,40,100,24,10,0,1346,1370,100,100,1,100,1370,0,0,1370,0,0,2,0,2,1,80,6,100,1,80,80,2006.0,66,2,484,65,65,100,120,49,0,0,0,0,0,0,0,0,10,2007,80,100,202500
64,70,80,50.0,10300,1,0,75,70,100,60,100,18,20,50,100,90,7,6,1921,1950,80,60,75,75,0,0.0,65,65,80,65,65,20,10,0,10,0,576,576,100,80,1,100,902,808,0,1710,0,0,2,0,3,1,50,9,100,0,0,60,1990.0,33,2,480,65,65,100,12,11,64,0,0,0,0,100,0,0,4,2010,80,100,140000
65,60,60,70.0,9375,1,0,100,100,100,60,100,6,60,60,100,90,7,5,1997,1998,80,60,70,70,85,573.0,65,65,100,80,65,20,100,739,10,0,318,1057,100,100,1,100,1057,977,0,2034,1,0,2,1,3,1,80,8,100,0,0,80,1998.0,66,2,645,65,65,100,576,36,0,0,0,0,0,100,0,0,2,2009,80,100,219500
66,60,60,76.0,9591,1,0,100,100,100,60,100,17,60,60,100,90,8,5,2004,2005,80,60,70,70,85,344.0,80,65,100,100,65,70,10,0,10,0,1143,1143,100,100,1,100,1143,1330,0,2473,0,0,2,1,4,1,80,9,100,1,80,100,2004.0,66,3,852,65,65,100,192,151,0,0,0,0,0,0,0,0,10,2007,80,100,317000
67,20,60,73.0,19900,1,0,100,100,100,60,100,13,100,60,100,70,7,5,1970,1989,80,60,35,35,85,287.0,65,65,70,80,65,100,100,912,10,0,1035,1947,100,65,1,100,2207,0,0,2207,1,0,2,0,3,1,50,7,85,1,80,80,1970.0,66,2,576,65,65,100,301,0,0,0,0,0,0,0,0,0,7,2010,80,100,180000
68,20,60,72.0,10665,1,0,75,100,100,60,100,6,60,60,100,70,7,5,2003,2003,80,60,70,70,85,167.0,80,65,100,80,65,70,100,1013,10,0,440,1453,100,100,1,100,1479,0,0,1479,1,0,2,0,3,1,80,7,100,0,0,80,2003.0,66,2,558,65,65,100,144,29,0,0,0,0,0,0,0,0,6,2007,80,100,226000
69,30,80,47.0,4608,1,0,100,100,100,80,100,18,40,60,100,70,4,6,1945,1950,80,60,40,40,0,0.0,65,80,70,65,65,20,10,0,10,0,747,747,100,65,1,100,747,0,0,747,0,0,1,0,2,1,50,4,100,0,0,80,1945.0,33,1,220,65,65,100,0,0,0,0,0,0,0,0,0,0,6,2010,80,100,80000
70,50,60,81.0,15593,1,0,100,100,100,80,100,5,60,60,100,80,7,4,1953,1953,80,60,90,15,0,0.0,80,65,70,65,65,20,60,603,10,0,701,1304,80,65,1,100,1304,983,0,2287,0,0,2,0,3,1,50,7,100,1,65,80,1953.0,100,2,667,65,65,100,0,21,114,0,0,0,0,0,0,0,7,2006,80,100,225000
71,20,60,95.0,13651,1,0,75,100,100,60,100,13,60,60,100,70,7,6,1973,1973,80,60,35,35,85,1115.0,65,80,70,80,65,100,80,1880,10,0,343,2223,100,100,1,100,2223,0,0,2223,1,0,2,0,3,1,50,8,100,2,80,80,1973.0,100,2,516,65,65,100,300,0,0,0,0,0,0,0,0,0,2,2007,80,100,244000
72,20,60,69.0,7599,1,0,100,100,100,80,100,12,60,60,100,70,4,6,1982,2006,80,60,45,35,0,0.0,65,65,70,65,65,20,80,565,10,0,280,845,100,65,1,100,845,0,0,845,1,0,1,0,2,1,50,4,100,0,0,60,1987.0,33,2,360,65,65,100,0,0,0,0,0,0,0,0,0,0,6,2007,80,100,129500
73,60,60,74.0,10141,1,0,75,100,100,80,100,9,60,60,100,90,7,5,1998,1998,80,60,70,70,85,40.0,65,65,100,80,65,20,10,0,10,0,832,832,100,80,1,100,885,833,0,1718,0,0,2,1,3,1,50,7,100,1,65,80,1998.0,100,2,427,65,65,100,0,94,0,0,291,0,0,0,0,0,12,2009,80,100,185000
